profile,actor,DD,DPS
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV,731465726.21,1934490.23,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Shoulders_Wrists,831479498.44,2188376.91,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Shoulders_Belt,807210071.51,2129459.24,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Shoulders_Cloak,804182217.73,2121455.78,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Shoulders_Chest,823149595.68,2171045.55,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Shoulders_Sephuz,916756716.64,2424642.54,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Shoulders_Sephuz_NoProc,835654017.24,2209128.12,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Shoulders_SotHP-FotM,827838349.99,2182610.16,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Shoulders_Insignia,834061310.96,2198671.10,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Wrists_Belt,799594989.36,2107457.01,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Wrists_Cloak,799831880.60,2105355.82,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Wrists_Chest,813650110.38,2144884.66,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Wrists_Sephuz,894637012.77,2364728.50,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Wrists_Sephuz_NoProc,800348090.59,2116567.39,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Wrists_SotHP-FotM,809062509.33,2132623.08,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Wrists_Insignia,826532018.91,2177356.23,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Belt_Cloak,804369180.70,2119407.77,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Belt_Chest,772725782.72,2042119.95,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Belt_Sephuz,878801726.07,2325461.31,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Belt_Sephuz_NoProc,797586068.21,2112958.25,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Belt_SotHP-FotM,839287464.62,2213011.70,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Belt_Insignia,795452965.89,2100813.80,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Cloak_Chest,796501492.37,2100701.61,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Cloak_Sephuz,905837371.16,2393874.84,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Cloak_Sephuz_NoProc,813377027.55,2149735.01,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Cloak_SotHP-FotM,806506209.04,2126102.37,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Cloak_Insignia,812814588.57,2142197.62,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Chest_Sephuz,888648319.50,2355130.54,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Chest_Sephuz_NoProc,797681468.52,2114187.60,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Chest_SotHP-FotM,800427524.60,2114954.64,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Chest_Insignia,817428695.54,2158424.63,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Sephuz_SotHP-FotM,882855416.40,2333372.78,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Sephuz_Insignia,901224144.14,2379823.56,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Sephuz_NoProc_SotHP-FotM,796574420.90,2105183.52,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Sephuz_NoProc_Insignia,806324897.20,2129976.13,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV,1100680777.36,2859328.66,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Shoulders_Wrists,1261361884.74,3264036.80,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Shoulders_Belt,1247203550.80,3232632.90,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Shoulders_Cloak,1227491555.76,3181594.39,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Shoulders_Chest,1247392030.68,3232728.99,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Shoulders_Sephuz,1317547375.96,3426994.90,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Shoulders_Sephuz_NoProc,1258047841.35,3266457.21,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Shoulders_SotHP-FotM,1218910383.61,3160562.00,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Shoulders_Insignia,1262483249.56,3271597.74,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Wrists_Belt,1241813014.82,3216269.37,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Wrists_Cloak,1216310992.29,3148420.83,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Wrists_Chest,1232066133.25,3192011.99,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Wrists_Sephuz,1338138902.63,3475481.76,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Wrists_Sephuz_NoProc,1258890071.69,3266445.75,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Wrists_SotHP-FotM,1228589729.43,3182932.93,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Wrists_Insignia,1260642622.05,3264564.11,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Belt_Cloak,1226911070.88,3179166.38,
