profile,actor,DD,DPS
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV,656053688.59,1740012.33,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Shoulders_Wrists,752357010.59,1987209.61,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Shoulders_Belt,804671086.26,2123048.01,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Shoulders_Cloak,773334515.18,2040762.83,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Shoulders_Chest,801695675.43,2114507.79,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Shoulders_Sephuz,890181255.44,2354369.15,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Shoulders_Sephuz_NoProc,774801226.49,2052333.30,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Shoulders_SotHP-FotM,788402886.85,2081521.61,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Shoulders_Insignia,799697036.37,2111017.23,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Wrists_Belt,744875491.63,1966089.55,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Wrists_Cloak,733793043.31,1937071.29,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Wrists_Chest,746510762.37,1970660.57,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Wrists_Sephuz,865654935.59,2286707.12,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Wrists_Sephuz_NoProc,744302205.28,1971553.05,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Wrists_SotHP-FotM,737347013.55,1948457.70,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Wrists_Insignia,747150063.17,1973218.89,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Belt_Cloak,773477383.80,2041347.92,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Belt_Chest,767486071.97,2026106.61,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Belt_Sephuz,895123582.55,2367863.61,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Belt_Sephuz_NoProc,770195553.82,2040518.81,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Belt_SotHP-FotM,813076436.01,2144643.15,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Belt_Insignia,786571180.39,2076827.33,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Cloak_Chest,765486321.15,2019567.96,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Cloak_Sephuz,868102310.34,2295404.58,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Cloak_Sephuz_NoProc,752363260.85,1992376.18,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Cloak_SotHP-FotM,753163318.33,1989214.97,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Cloak_Insignia,767701527.79,2026512.62,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Chest_Sephuz,874914722.96,2314137.98,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Chest_Sephuz_NoProc,770722942.50,2040869.12,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Chest_SotHP-FotM,781340474.83,2062344.18,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Chest_Insignia,791971497.58,2089885.96,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Sephuz_SotHP-FotM,842373167.70,2226384.20,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Sephuz_Insignia,869877072.03,2295754.03,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Sephuz_NoProc_SotHP-FotM,739314893.32,1957059.62,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Sephuz_NoProc_Insignia,748968253.97,1981750.97,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV,1033575437.77,2686846.17,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Shoulders_Wrists,1195866187.87,3097418.39,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Shoulders_Belt,1233802895.27,3197685.54,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Shoulders_Cloak,1195806926.78,3099322.20,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Shoulders_Chest,1220860899.68,3163403.57,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Shoulders_Sephuz,1314101451.83,3415919.22,
