profile,actor,DD,DPS
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV,785101391.90,2086588.10,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Torment_the_Weak,802004446.49,2128955.17,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Shadowbind,802383511.06,2129956.18,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Chaotic_Darkness,800290181.87,2124595.83,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Dark_Sorrows,795971683.76,2113933.06,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Master_of_Shadows,795427549.11,2112488.70,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Murderous_Intent,793281252.07,2108395.44,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Shocklight,796268666.16,2115881.80,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Light_Speed,795689585.57,2114499.16,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Secure_in_the_Light,798118310.56,2119150.42,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Infusion_of_Light,797699935.82,2118202.49,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_1,788346835.15,2095262.04,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_2,792261833.24,2105677.18,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_3,795636516.19,2114476.59,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_DE,785372313.10,2087380.62,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_MS,790813665.46,2100935.02,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_UtS,793834103.71,2108892.43,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_ToD,791947490.49,2103852.05,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_FD,789357645.28,2105318.36,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_CS,792664987.51,2105633.19,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_VC,785419760.54,2087503.78,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_TtP,794103629.14,2109289.05,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV,1182696044.81,3083196.04,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Torment_the_Weak,1199424848.51,3125006.29,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Shadowbind,1200255467.94,3127045.32,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Chaotic_Darkness,1198614523.25,3123002.81,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Dark_Sorrows,1201590756.78,3130440.27,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Master_of_Shadows,1198928469.61,3123708.40,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Murderous_Intent,1195145911.55,3115652.02,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Shocklight,1197464289.47,3121189.64,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Light_Speed,1193262233.15,3111005.57,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Secure_in_the_Light,1195983032.84,3116434.15,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Infusion_of_Light,1195727005.75,3115775.76,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_1,1187635531.73,3096015.35,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_2,1192498517.24,3108706.18,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_3,1197612678.80,3122033.01,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_DE,1183171606.87,3084374.47,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_MS,1188740035.42,3098308.99,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_UtS,1192854371.16,3108594.30,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_ToD,1195785795.52,3115901.73,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_FD,1197436524.85,3128794.72,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_CS,1194007520.29,3111422.71,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_VC,1182354240.84,3082296.27,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_TtP,1197713499.31,3120773.44,
son_st_gear_big_add.simc_LightMovement_1_400,LotV,896257942.91,2365973.48,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Torment_the_Weak,913390038.50,2408801.77,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Shadowbind,913724628.71,2409643.61,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Chaotic_Darkness,911934568.38,2405191.00,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Dark_Sorrows,907250943.29,2393512.22,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Master_of_Shadows,906568005.99,2391839.82,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Murderous_Intent,905679707.05,2390905.88,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Shocklight,906184860.15,2391950.23,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Light_Speed,910230251.13,2402816.43,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Secure_in_the_Light,909468622.61,2399084.02,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Infusion_of_Light,909302662.65,2398527.56,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_1,899701005.02,2375080.06,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_2,903415119.53,2384833.99,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_3,907478475.47,2395619.20,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_DE,896275747.66,2366014.55,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_MS,903084197.58,2383065.40,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_UtS,901004201.96,2377866.31,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_ToD,903688142.89,2384552.42,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_FD,908524484.62,2405680.10,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_CS,904442402.12,2386422.92,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_VC,895926621.84,2365162.65,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_TtP,903654753.88,2384464.18,
son_st_gear_big_add.simc_LightMovement_2_400,LotV,1282657217.67,3330567.86,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_Torment_the_Weak,1299673573.91,3373143.91,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_Shadowbind,1300279334.15,3374616.33,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_Chaotic_Darkness,1298633470.83,3370567.07,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_Dark_Sorrows,1301699605.65,3378225.43,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_Master_of_Shadows,1298696915.69,3370650.88,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_Murderous_Intent,1296342175.80,3366021.68,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_Shocklight,1297721982.26,3369387.49,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_Light_Speed,1304347500.41,3386749.29,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_Secure_in_the_Light,1296148269.70,3364254.57,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_Infusion_of_Light,1295678512.60,3363130.10,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_1,1287631104.68,3343505.72,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_2,1293422179.71,3358508.25,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_3,1298944208.57,3372834.60,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_DE,1282784059.71,3330841.24,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_MS,1290128988.72,3349324.03,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_UtS,1290250215.21,3349480.09,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_ToD,1296403250.82,3364975.80,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_FD,1293465209.26,3366041.13,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_CS,1294792193.90,3360890.87,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_VC,1282665379.98,3330584.69,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_TtP,1296322058.94,3364727.05,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV,926318997.68,2442004.65,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_Torment_the_Weak,943634663.33,2485219.91,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_Shadowbind,944221226.63,2486767.43,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_Chaotic_Darkness,942354532.62,2482077.05,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_Dark_Sorrows,937373570.95,2469586.91,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_Master_of_Shadows,936952443.30,2468562.26,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_Murderous_Intent,936116148.57,2467828.75,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_Shocklight,936801637.42,2469295.52,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_Light_Speed,938422171.38,2473578.65,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_Secure_in_the_Light,939671606.51,2475337.56,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_Infusion_of_Light,939634879.29,2475264.52,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_1,930088376.04,2451879.40,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_2,934007947.16,2462210.09,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_3,938122758.81,2473004.02,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_DE,926678570.51,2442851.54,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_MS,933924073.08,2461013.63,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_UtS,931043587.00,2453783.84,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_ToD,934363783.51,2462143.64,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_FD,938143431.43,2480340.41,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_CS,935007541.00,2463735.10,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_VC,926286622.39,2441918.65,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_TtP,933877523.53,2460893.54,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV,1324000617.84,3434922.97,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_Torment_the_Weak,1341208639.22,3477961.01,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_Shadowbind,1342224733.74,3480540.43,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_Chaotic_Darkness,1340540844.93,3476305.21,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_Dark_Sorrows,1343681501.62,3484148.32,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_Master_of_Shadows,1340486524.03,3476212.82,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_Murderous_Intent,1338147015.12,3471641.74,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_Shocklight,1339751113.44,3475386.26,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_Light_Speed,1339502913.17,3475320.37,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_Secure_in_the_Light,1337824358.55,3469535.06,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_Infusion_of_Light,1337516948.11,3468743.17,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_1,1329534474.51,3449242.57,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_2,1335118103.01,3463739.47,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_3,1340892920.19,3478739.37,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_DE,1324295556.62,3435658.54,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_MS,1332050033.48,3455088.07,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_UtS,1332190457.65,3455342.09,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_ToD,1338279163.31,3470637.33,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_FD,1338476339.90,3479683.71,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_CS,1336819183.22,3467029.72,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_VC,1324099667.39,3435173.11,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_TtP,1337760533.30,3469381.41,
son_st_gear_no_add.simc_HeavyMovement_1_400,LotV,611566428.71,1643440.43,
son_st_gear_no_add.simc_HeavyMovement_1_400,LotV_Torment_the_Weak,626740998.44,1681363.05,
son_st_gear_no_add.simc_HeavyMovement_1_400,LotV_Shadowbind,626301277.51,1680266.92,
son_st_gear_no_add.simc_HeavyMovement_1_400,LotV_Chaotic_Darkness,624688601.11,1676240.89,
son_st_gear_no_add.simc_HeavyMovement_1_400,LotV_Dark_Sorrows,617983229.14,1659391.18,
son_st_gear_no_add.simc_HeavyMovement_1_400,LotV_Master_of_Shadows,618996974.26,1661927.33,
