profile,actor,DD,DPS
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV,682402335.73,1808838.56,
son_st_gear_big_add.simc_HeavyMovement_1_400,No_Legendary_LotV,655565417.27,1737249.46,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Insignia_TtW,704042378.55,1862917.06,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Insignia_Shadowbind,704855496.29,1865000.75,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Insignia_CD,702752429.68,1859801.60,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Insignia_DS,696161536.46,1843213.97,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Insignia_MoS,695502824.20,1841677.92,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Insignia_MI,693404758.42,1837982.10,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Insignia_Shocklight,697064597.54,1847015.26,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Insignia_LS,698578458.96,1850800.20,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Insignia_SitL,699135438.57,1850624.48,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Insignia_IoL,699511432.05,1851697.11,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV,1062784395.20,2761547.97,
son_st_gear_big_add.simc_HeavyMovement_2_400,No_Legendary_LotV,1004583120.07,2611154.66,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Insignia_TtW,1084741967.45,2816502.84,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Insignia_Shadowbind,1085307468.92,2817831.62,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Insignia_CD,1083546471.33,2813435.61,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Insignia_DS,1087370499.04,2823109.56,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Insignia_MoS,1083579140.32,2813510.27,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Insignia_MI,1079767004.51,2805524.64,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Insignia_Shocklight,1087811998.43,2825666.79,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Insignia_LS,1085995220.73,2821068.93,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Insignia_SitL,1079992676.57,2804601.60,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Insignia_IoL,1079817302.09,2804183.48,
son_st_gear_big_add.simc_LightMovement_1_400,LotV,796987753.71,2097396.71,
son_st_gear_big_add.simc_LightMovement_1_400,No_Legendary_LotV,766089589.13,2015568.76,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Insignia_TtW,820348680.66,2155725.73,
