profile,actor,DD,DPS
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV,659232314.64,1735452.29,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Shoulders,712456757.35,1874243.17,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Wrists,696242876.74,1828533.47,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Belt,726331391.36,1908845.04,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Cloak,701697458.55,1844651.15,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Prydaz,696226400.93,1828436.37,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Trinket,714775321.12,1878948.69,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Helm,700001726.86,1842399.70,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Twins,689158843.10,1819966.38,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_SotHP-FotM,682812958.30,1799834.40,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_SotHP-SWV,705459287.55,1860515.14,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Chest,711709144.35,1870762.99,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Norg,818593251.76,2146408.60,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Sephuz,758729527.11,2005828.13,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Sephuz-NoProc,700381996.02,1850155.95,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Crafted,695817485.35,1833707.01,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Insignia,704616079.60,1853823.43,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV,968883576.83,2516234.99,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Shoulders,1060389475.14,2751937.81,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Wrists,1038730382.36,2691267.40,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Belt,1050837743.26,2725301.07,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Cloak,1026795408.91,2664100.28,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Prydaz,1028743912.20,2666736.56,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Trinket,1062652517.37,2756263.37,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Helm,1034116886.91,2685138.03,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Twins,1028309103.40,2675996.78,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_SotHP-FotM,1008559603.51,2621486.19,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_SotHP-SWV,1001871499.24,2604927.62,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Chest,1059693749.34,2748059.02,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Norg,1237592004.23,3198826.60,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Sephuz,1134820996.18,2954131.93,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Sephuz-NoProc,1048873522.87,2728723.35,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Crafted,1030900581.90,2678498.43,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Insignia,1038266804.80,2696069.48,
son_st_gear_big_add.simc_LightMovement_1_400,LotV,756064980.31,1985985.98,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Shoulders,817139825.06,2144119.02,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Wrists,791499225.78,2074483.12,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Belt,820539937.60,2150577.16,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Cloak,798926433.98,2095181.71,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Prydaz,795656788.48,2085543.88,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Trinket,818853029.72,2147684.65,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Helm,804642615.23,2112803.14,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Twins,795646068.76,2094054.11,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_SotHP-FotM,802263121.91,2105958.12,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_SotHP-SWV,794296661.79,2088291.65,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Chest,811409119.96,2128141.81,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Norg,816368301.30,2141305.48,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Sephuz,880905165.10,2320031.65,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Sephuz-NoProc,797123795.78,2098940.01,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Crafted,795808108.86,2091497.78,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Insignia,810195403.00,2125998.74,
son_st_gear_big_add.simc_LightMovement_2_400,LotV,1139503084.34,2948138.72,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_Shoulders,1239221694.68,3203072.49,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_Wrists,1202948768.78,3106234.35,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_Belt,1214717763.14,3141070.27,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_Cloak,1191457331.63,3080243.04,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_Prydaz,1201796416.40,3104362.24,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_Trinket,1241618394.80,3208459.97,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_Helm,1212354251.69,3135908.43,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_Twins,1211708611.39,3139098.05,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_SotHP-FotM,1206723660.89,3121460.23,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_SotHP-SWV,1181263430.00,3058602.94,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_Chest,1227922102.47,3173295.41,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_Norg,1228330855.16,3175415.16,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_Sephuz,1330349275.87,3450259.42,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_Sephuz-NoProc,1220433218.49,3162230.94,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_Crafted,1206711495.13,3123059.69,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_Insignia,1216522993.33,3146100.37,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV,779935733.08,2045654.87,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_Shoulders,842904103.72,2208217.24,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_Wrists,814570118.34,2132502.59,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_Belt,847904664.23,2218914.04,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_Cloak,821760952.58,2152006.66,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_Prydaz,819242617.00,2144384.82,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_Trinket,842957208.78,2207638.47,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_Helm,829423721.49,2174504.69,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_Twins,820048752.73,2154641.51,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_SotHP-FotM,831334589.39,2178804.74,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_SotHP-SWV,818208810.75,2147776.34,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_Chest,835082761.45,2187005.47,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_Norg,818809953.82,2147002.23,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_Sephuz,908860349.75,2390737.36,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_Sephuz-NoProc,822339678.43,2161474.69,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_Crafted,822803195.84,2158819.10,
son_st_gear_big_add.simc_Patchwerk_1_400,LotV_Insignia,834816190.50,2187315.02,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV,1171984043.17,3030042.94,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_Shoulders,1281435883.00,3309616.33,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_Wrists,1235485857.09,3188244.55,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_Belt,1253951369.96,3240125.42,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_Cloak,1225922658.94,3167022.11,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_Prydaz,1237884350.16,3195424.54,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_Trinket,1278681081.47,3301979.62,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_Helm,1253585562.83,3239771.47,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_Twins,1260255704.04,3261795.34,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_SotHP-FotM,1267299192.05,3274528.40,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_SotHP-SWV,1238821048.07,3204099.33,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_Chest,1267408064.39,3272918.92,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_Norg,1237486884.18,3198552.50,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_Sephuz,1367754901.17,3544250.72,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_Sephuz-NoProc,1258227003.06,3257797.14,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_Crafted,1250127698.40,3232463.04,
son_st_gear_big_add.simc_Patchwerk_2_400,LotV_Insignia,1255443353.28,3244282.61,
son_st_gear_no_add.simc_HeavyMovement_1_400,LotV,576221643.37,1527506.85,
son_st_gear_no_add.simc_HeavyMovement_1_400,LotV_Shoulders,621974230.86,1647395.96,
son_st_gear_no_add.simc_HeavyMovement_1_400,LotV_Wrists,603484935.23,1595935.86,
