profile,actor,DD,DPS
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV,714872309.46,1893028.86,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Shoulders,769856214.74,2033757.49,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Wrists,762173502.31,2012280.45,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Belt,720559055.57,1907227.71,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Cloak,762781162.01,2013096.38,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Prydaz,748900048.23,1978251.46,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Trinket,727601032.60,1925979.37,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Helm,744994876.93,1971006.86,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Twins,749446190.64,1988228.07,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_SotHP-FotM,746473008.23,1975885.11,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_SotHP-SWV,771857571.27,2040116.49,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Chest,747832132.57,1979527.25,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Norg,898430595.20,2357007.08,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Sephuz,831957369.32,2208560.36,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Sephuz-NoProc,748104142.06,1985906.44,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Crafted,740423195.34,1960299.77,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Insignia,766377351.05,2026636.37,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV,1089164864.23,2830594.20,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Shoulders,1170876903.04,3037338.83,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Wrists,1157461605.52,3001473.52,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Belt,1134529773.84,2948128.07,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Cloak,1137078400.09,2949994.62,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Prydaz,1147063289.99,2975602.01,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Trinket,1099570068.09,2857518.83,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Helm,1136438626.87,2951416.95,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Twins,1147722260.10,2985897.06,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_SotHP-FotM,1131353249.43,2939857.73,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_SotHP-SWV,1116714005.64,2902975.70,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Chest,1150316632.76,2987470.52,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Norg,1315834129.08,3400495.77,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Sephuz,1228404433.39,3200942.57,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Sephuz-NoProc,1166412933.88,3034873.93,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Crafted,1134351726.85,2947168.47,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Insignia,1167202138.39,3030675.04,
son_st_gear_big_add.simc_LightMovement_1_400,LotV,835448982.18,2196752.08,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Shoulders,886271771.25,2326059.61,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Wrists,875333613.91,2296419.62,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Belt,894300992.08,2347307.00,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Cloak,872121175.05,2287458.73,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Prydaz,875538592.25,2297304.28,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Trinket,845617181.28,2224138.46,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Helm,873337162.14,2294279.12,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Twins,877495465.14,2310738.33,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_SotHP-FotM,881924041.15,2317186.68,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_SotHP-SWV,859751945.97,2262157.23,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Chest,872195923.40,2292566.81,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Norg,894556561.87,2347323.47,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Sephuz,920234263.38,2428836.58,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Sephuz-NoProc,875636383.16,2307508.27,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Crafted,867690651.60,2280914.88,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Insignia,895468272.86,2351617.62,
son_st_gear_big_add.simc_LightMovement_2_400,LotV,1237726875.45,3202550.53,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_Shoulders,1308680385.83,3382007.22,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_Wrists,1318119445.24,3403539.47,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_Belt,1293597749.12,3345586.88,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_Cloak,1274863586.18,3294356.17,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_Prydaz,1300190351.66,3358936.22,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_Trinket,1266075573.25,3275434.69,
son_st_gear_big_add.simc_LightMovement_2_400,LotV_Helm,1297421414.51,3354666.88,
