profile,actor,DD,DPS
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV,646779171.20,1716939.85,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Shoulders,714191521.01,1891958.55,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Wrists,674564430.56,1786058.02,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Belt,702758020.21,1861334.46,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Cloak,704606576.96,1864596.72,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Prydaz,687978434.80,1820904.48,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Trinket,651409569.69,1728110.64,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Helm,700509622.04,1857341.85,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Twins,709663589.88,1884436.10,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_SotHP-FotM,695870197.57,1845355.23,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_SotHP-SWV,762938287.09,2014983.87,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Chest,707822981.48,1874300.71,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Norg,864789003.44,2269978.73,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Sephuz,804352551.81,2133098.02,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Sephuz-NoProc,698413914.30,1855494.83,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Crafted,710863220.68,1884573.61,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Insignia,709778754.69,1880331.16,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV,1029303355.50,2676164.51,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Shoulders,1120685738.84,2909451.54,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Wrists,1084655923.70,2814698.34,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Belt,1095737350.57,2847591.74,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Cloak,1085824609.91,2819312.64,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Prydaz,1089037780.24,2825880.06,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Trinket,1041916429.97,2708440.45,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Helm,1098311645.53,2853678.20,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Twins,1104016464.77,2872052.74,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_SotHP-FotM,1074192253.42,2792073.21,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_SotHP-SWV,1092806351.05,2839543.73,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Chest,1114049851.91,2891451.27,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Norg,1302129479.98,3363537.17,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Sephuz,1225340640.03,3189193.74,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Sephuz-NoProc,1115845934.14,2903066.92,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Crafted,1098590709.01,2855184.16,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Insignia,1106460258.07,2873922.05,
son_st_gear_big_add.simc_LightMovement_1_400,LotV,781529439.78,2056201.97,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Shoulders,849057493.27,2229767.67,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Wrists,815588126.17,2141929.86,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Belt,857160776.89,2249787.91,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Cloak,831752829.37,2183525.54,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Prydaz,826448798.97,2169359.48,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Trinket,788577486.28,2074990.72,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Helm,840161051.40,2208311.04,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Twins,839990674.58,2211459.23,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_SotHP-FotM,846337386.16,2223097.61,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_SotHP-SWV,841791050.78,2212819.97,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Chest,841002002.85,2208660.96,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Norg,861625926.89,2262038.36,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Sephuz,906712163.68,2390917.78,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Sephuz-NoProc,833969097.37,2197341.44,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Crafted,833959922.04,2193089.79,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Insignia,847263563.81,2225659.07,
