profile,actor,DD,DPS
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV,691996550.91,1825712.57,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Shoulders,743020879.01,1957322.69,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Wrists,732806858.13,1927482.78,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Belt,758797019.02,1997296.07,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Cloak,733965227.56,1931049.49,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Prydaz,729557013.98,1920396.81,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Trinket,748567098.83,1972518.13,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Helm,724874731.94,1909882.37,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Twins,719144136.00,1904046.30,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_SotHP-FotM,719689782.01,1901185.88,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_SotHP-SWV,731448946.64,1932626.74,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Chest,730247776.59,1925134.74,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Norg,850805940.40,2230342.85,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Sephuz,787455806.92,2087695.47,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Sephuz-NoProc,733776106.95,1943094.52,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Crafted,716612978.30,1890761.77,
son_st_gear_big_add.simc_HeavyMovement_1_400,LotV_Insignia,739690385.87,1950812.73,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV,1023278264.00,2659630.80,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Shoulders,1102214579.18,2860253.70,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Wrists,1098157628.15,2846915.59,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Belt,1084521728.95,2815674.39,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Cloak,1072303843.23,2781779.72,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Prydaz,1079438858.46,2800365.16,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Trinket,1114468895.17,2892432.15,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Helm,1068474862.80,2774872.99,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Twins,1061493255.54,2764785.63,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_SotHP-FotM,1055379720.49,2744461.44,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_SotHP-SWV,1053271453.13,2740412.34,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Chest,1086087100.94,2820701.33,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Norg,1298440207.84,3355726.63,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Sephuz,1163299132.26,3034066.52,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Sephuz-NoProc,1086156286.11,2828832.87,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Crafted,1059416289.52,2753306.73,
son_st_gear_big_add.simc_HeavyMovement_2_400,LotV_Insignia,1087812331.94,2826260.49,
son_st_gear_big_add.simc_LightMovement_1_400,LotV,793394971.94,2084369.52,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Shoulders,849200705.76,2226771.10,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Wrists,834809877.90,2188176.77,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Belt,857545808.32,2247267.95,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Cloak,831728557.55,2180204.32,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Prydaz,832642970.45,2182788.27,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Trinket,857206948.82,2248823.24,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Helm,831967319.51,2183294.20,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_Twins,831961261.41,2190559.27,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_SotHP-FotM,842961192.48,2214233.75,
son_st_gear_big_add.simc_LightMovement_1_400,LotV_SotHP-SWV,827038374.67,2175891.92,
